강좌검색,,,,,,,,,,,,,,,,,,,,,
" 년도 : 2022학년도,   학기 : 1학기,   교양영역 : 전체,   상위영역 : 전체,   이수과정 : 전체,   학년 : 전체,   개설대학 : 전체,   개설학과 : 전체,   개설전공 : 전체,   수업진행형태 : 전체,   성적부여형태 : 전체",,,,,,,,,,,,,,,,,,,,,
교과구분,개설대학,개설학과,이수과정,학년,교과목번호,강좌번호,교과목명,부제명,학점,강의,실습,수업교시,수업형태,"강의실(동-호)(#연건, *평창)",주담당교수,장바구니신청,정원,수강신청인원,비고,강의언어,개설상태
전필,사회과학대학,언론정보학과,학사,4학년,2114.408A,001,HCI이론 및 실습,,3,3,0,,,,이준환,13,20 (20),0,,한국어,설강
전선,미술대학,디자인과,학사,2학년,M1774.007600,001,ID드로잉,,3,3,0,화(10:00~11:50)/화(12:00~13:50),이론/실습,49-107/49-107,,1,20 (20),0,,한국어,설강
전선,공과대학,,학사,3학년,M2177.004900,001,IoT·인공지능·빅데이터 개론 및 실습,,3,2,2,금(13:30~15:20)/금(16:00~17:50)/금(13:30~15:20)/금(16:00~17:50),실습/실습/실습/실습,44-1-206/44-1-206/44-1-207/44-1-207,전병곤,48,100 (100),0,"ⓕ 플립러닝(Flipped Learning) 적용강좌전기정보공학 또는 컴퓨터공학 주전공자를 제외한 서울대학교 학부생 및 대학원생 대상. 수강신청프로그램으로 신청 불가하며, 별도 신청페이지(https://eng.snu.ac.kr/reserve/iab)에서 사전신청한 학생 선발 후 수강신청 승인. 선발 후 수강입력을 해야 하므로 수강학점(3학점) 남겨둬야 함. 자세한 사항은 신청페",한국어,설강
전선,국제농업기술대학원,국제농업기술학과,석박사통합,0,M2868.001800,001,가금 유전체 제어 기술,가금 유전체 제어 기술,3,3,0,수(09:00~11:50),이론,*100-101-202,박태섭,0,10 (10),0,,한국어,설강
전선,생활과학대학,소비자학과,석박사통합,0,358.533,001,가계경제특론,,3,3,0,화(14:00~16:50),이론,222-432,최현자,3,20 (20),0,,한국어,설강
전선,환경대학원,환경조경학과,석사,0,M2100.001300,001,가상경관 설계기법,,3,3,0,금(10:00~12:50),이론,82-503,이유미,2,12 (12),0,,한국어,설강
전필,수의과대학,수의학과,학사,3학년,552.321,001,가금질병학 및 실습,,4,54,48,수(09:00~12:50)/수(14:00~16:50),이론/실습,85-209/85-209,최강석,1,60 (60),0,,한국어,설강
전선,공과대학,전기·정보공학부,석박사통합,,430.844,001,MEMS공정 및 설계,,3,2,2,화(14:00~15:15)/목(14:00~15:15),이론/이론,301-302/301-302,조동일,2,40 (40),0,,한국어,설강
전선,수의과대학,수의학과,석박사통합,,M2180.000200,001,가금임상수의학 특강,항생제 대체물질 설계,3,3,0,금(15:00~17:50),이론,85-1-209,권혁준,0,20 (20),0,,한국어,설강
전선,미술대학,디자인학부,석사,0,M1774.005500,001,UI디자인연구1,,3,3,0,목(10:00~12:50),이론,49-301,,1,10 (10),0,,한국어,설강
전선,미술대학,디자인과,학사,2학년,M1774.000800,001,VD컴퓨테이션,,2,1,2,화(15:00~15:50)/화(16:00~17:50),이론/실습,49-301/49-301,,0,20 (20),0,,한국어,설강
전선,사범대학,협동과정 가정교육전공,석박사통합,1학년,704.666,001,가정과교수법,가정과 교수-학습 방법 탐구,3,3,0,금(19:00~21:50),이론,9-104,,1,20 (20),0,,한국어,설강
전선,보건대학원,보건학과,석박사통합,0,902.673,001,가족-쌍둥이 분석방법론,,3,3,0,화(09:00~11:50),이론,220-701,성주헌,0,4 (4),0,ⓔ,영어,설강
교직,생활과학대학,의류학과,학사,3학년,350.302A,001,가정과교재연구 및 지도법,,3,3,0,목(17:00~19:50),이론,222-112,이수희,1,30 (30),0,,한국어,설강
전선,사범대학,협동과정 가정교육전공,석박사통합,,704.501A,001,가정과교육특강,청년과 가족의 변화,3,3,0,목(13:00~15:50),이론,222-B204,,1,20 (20),0,,한국어,설강
전선,치과대학,치의과학과,석박사통합,0,851.900,001,가상치아 삼차원 재형성,,3,3,0,월(11:00~13:50),이론,#22-313,이승표,0,30 (30),0,ⓔ,영어,설강
전선,간호대학,간호학과,석박사통합,1학년,M2186.000600,001,가정방문간호 사례관리,,3,3,0,화(13:00~15:50),이론,#12-401,우경미,2,25 (25),0,,한국어,설강
전선,법과대학,법학과,석박사통합,,270.632,001,가족법특수연구,혼인법,3,3,0,수(19:00~21:50),이론,15-1-306,윤진수,5,20 (20),0,,한국어,설강
전선,사범대학,협동과정 가정교육전공,석박사통합,1학년,704.667A,001,가정과교육과정연구,,3,3,0,화(18:00~20:50),이론,9-104,,1,20 (20),0,,한국어,설강
전필,의과대학,의학과,학사,4학년,801.317,001,가정의학 및 실습,,1,0,40,,,,,1,160 (160),0,,한국어,설강
전필,의학대학원,의학과,석사,4학년,911.714,002,가정의학 및 실습,,1,0,40,,,,,0,1 (1),0,,한국어,설강
전선,생활과학대학,소비자아동학부,학사,3학년,357.424,001,가족정책론,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,222-113/222-113,진미정,1,40 (40),0,,한국어,설강
전선,생활과학대학,아동가족학과,석박사통합,0,359.665,001,가족치료이론,,3,3,0,목(16:00~18:50),이론,222-B203,이경희,5,15 (15),0,,한국어,설강
전선,자연과학대학,수리과학부,석박사통합,0,3341.601,001,가환대수,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,24-112/24-112,Jun Ho Whang,3,40 (40),0,,한국어,설강
전선,치과대학,치의과학과,석박사통합,0,852.830A,001,가철식 교정장치,,3,3,0,목(17:00~19:50),이론,,안석준,0,30 (30),0,,한국어,설강
전선,생활과학대학,아동가족학과,석박사통합,0,M0000.024400,001,가족이론연구,,3,3,0,수(14:00~16:50),이론,222-211,진미정,3,15 (15),0,,한국어,설강
전선,간호대학,간호학과,석박사통합,1학년,811.642A,001,간호개념측정 및 도구개발,,3,3,0,목(16:00~18:50),이론,#12-401,박현애,4,10 (10),0,,한국어,설강
전선,사범대학,협동과정 음악교육전공,석박사통합,,704.563A,001,가창지도법,,3,3,0,,,,,0,20 (20),0,,한국어,설강
